bot,verified,geo_enabled,default_profile,has_description,len_en,followers,friends,listed_count,likes,tweets,cat_followers,cat_friends,cat_listed_count,cat_likes,cat_tweets
0,0.0,1.0,1.0,1,0,443,674,2,35600,14053,3,3,1,5,5
0,0.0,1.0,1.0,1,0,281,1249,1,5741,2658,3,4,1,4,4
1,0.0,0.0,1.0,1,0,258,548,0,2490,3812,3,3,1,4,4
0,0.0,0.0,1.0,1,0,354,764,1,6152,1244,3,3,1,4,4
0,0.0,1.0,1.0,0,0,760,411,8,24617,40490,3,3,1,5,5
1,0.0,0.0,1.0,0,0,313,397,0,191,3313,3,3,1,3,4
0,0.0,1.0,1.0,0,0,179,261,13,3,3893,3,3,2,1,4
0,0.0,1.0,1.0,1,0,173,1062,8,25054,8554,3,4,1,5,4
0,0.0,0.0,0.0,0,0,524,726,17,2592,36541,3,3,2,4,5
0,0.0,1.0,1.0,1,0,183,333,0,11086,7708,3,3,1,5,4
1,0.0,0.0,1.0,1,0,281,699,0,2005,3101,3,3,1,4,4
1,0.0,0.0,1.0,0,1,188,202,0,19,2115,3,3,1,2,4
0,0.0,1.0,1.0,1,0,421,788,8,10775,26433,3,3,1,5,5
0,0.0,1.0,0.0,1,0,2249,2220,12,969,2662,4,4,2,3,4
1,0.0,0.0,1.0,1,0,28,1,0,2203,2623,2,1,1,4,4
0,0.0,1.0,0.0,1,0,865,902,6,8050,9823,3,3,1,4,4
0,0.0,0.0,0.0,1,1,145,326,0,4721,4931,3,3,1,4,4
0,0.0,1.0,0.0,1,0,545,740,22,2359,75615,3,3,2,4,5
1,0.0,1.0,0.0,0,0,388,465,6,1621,13034,3,3,1,4,5
1,0.0,0.0,0.0,0,0,1231,4937,43,16563,21431,4,4,2,5,5
0,0.0,0.0,1.0,0,0,48,271,1,6959,4411,2,3,1,4,4
1,0.0,1.0,1.0,0,0,925,1059,4,12203,36083,3,4,1,5,5
1,0.0,0.0,1.0,0,0,527,737,1,6293,8789,3,3,1,4,4
0,0.0,1.0,1.0,1,0,561,516,1,3686,7612,3,3,1,4,4
0,0.0,0.0,1.0,1,0,769,719,2,3932,4298,3,3,1,4,4
0,0.0,1.0,1.0,1,0,1312,1094,6,76225,54465,4,4,1,5,5
0,0.0,1.0,1.0,1,0,310,515,5,45776,28955,3,3,1,5,5
0,0.0,0.0,1.0,0,1,0,2,0,9,1455,1,1,1,1,4
1,0.0,0.0,1.0,0,0,23,82,0,1,903,2,2,1,1,3
0,0.0,1.0,1.0,0,1,119,117,0,100,5555,3,3,1,2,4
0,0.0,0.0,0.0,1,0,1443,1334,4,1360,55272,4,4,1,4,5
0,0.0,0.0,1.0,1,0,193,455,0,7177,1472,3,3,1,4,4
1,0.0,0.0,1.0,0,1,16,9,0,3,465,2,1,1,1,3
0,0.0,0.0,1.0,1,1,573,1365,4,15812,12209,3,4,1,5,5
0,0.0,0.0,1.0,1,1,2026,99,34,62377,45928,4,2,2,5,5
1,0.0,0.0,1.0,0,0,257,198,0,1692,4264,3,3,1,4,4
0,0.0,0.0,1.0,1,1,162,253,1,4100,2641,3,3,1,4,4
1,0.0,1.0,0.0,0,0,194,242,1,2786,18758,3,3,1,4,5
0,0.0,0.0,1.0,1,1,353,996,0,38774,2882,3,3,1,5,4
1,0.0,0.0,1.0,0,0,14,5,0,19,296,2,1,1,2,3
1,0.0,1.0,0.0,1,0,1313,2333,8,34541,32135,4,4,1,5,5
0,0.0,0.0,1.0,1,0,42,37,0,1161,901,2,2,1,4,3
1,0.0,0.0,1.0,0,0,35,47,0,580,943,2,2,1,3,3
0,0.0,0.0,1.0,1,0,594,1218,3,20488,16181,3,4,1,5,5
1,0.0,0.0,1.0,0,0,75,57,0,2081,2274,2,2,1,4,4
1,0.0,0.0,1.0,1,0,8960,9671,24,41695,55293,4,4,2,5,5
1,0.0,0.0,1.0,0,0,260,142,23,54,8321,3,3,2,2,4
0,0.0,0.0,0.0,1,0,435,4999,1,1922,3886,3,4,1,4,4
0,0.0,0.0,1.0,1,0,836,550,9,71106,21867,3,3,1,5,5
0,0.0,0.0,0.0,1,0,324,1028,0,30189,11712,3,4,1,5,5
1,0.0,0.0,0.0,1,1,24114,2301,8390,12480,1013273,5,4,4,5,5
